Questions,Answers
Who is the antagonist of Rogers?,Schmidt is the antagonist of Rogers.
"In the movie Captain America First Avenger, who is the antagonist of Schmidt?","In the movie Captain America First Avenger, Rogers is the antagonist of Schmidt."
Who is the antagonist of Schmidt?,Rogers is the antagonist of Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Steve?","In the movie Captain America First Avenger, Schmidt is the antagonist of Steve."
Who is the antagonist of Steve?,Schmidt is the antagonist of Steve.
"In the movie Captain America First Avenger, who is the antagonist of Schmidt?","In the movie Captain America First Avenger, Steve is the antagonist of Schmidt."
Who is the antagonist of Schmidt?,Steve is the antagonist of Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Steven Rogers?","In the movie Captain America First Avenger, Schmidt is the antagonist of Steven Rogers."
Who is the antagonist of Steven Rogers?,Schmidt is the antagonist of Steven Rogers.
"In the movie Captain America First Avenger, who is the antagonist of Schmidt?","In the movie Captain America First Avenger, Steven Rogers is the antagonist of Schmidt."
Who is the antagonist of Schmidt?,Steven Rogers is the antagonist of Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Captain America?","In the movie Captain America First Avenger, Johann Schmidt is the antagonist of Captain America."
Who is the antagonist of Captain America?,Johann Schmidt is the antagonist of Captain America.
"In the movie Captain America First Avenger, who is the antagonist of Johann Schmidt?","In the movie Captain America First Avenger, Captain America is the antagonist of Johann Schmidt."
Who is the antagonist of Johann Schmidt?,Captain America is the antagonist of Johann Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Steve?","In the movie Captain America First Avenger, Johann Schmidt is the antagonist of Steve."
Who is the antagonist of Steve?,Johann Schmidt is the antagonist of Steve.
"In the movie Captain America First Avenger, who is the antagonist of Johann Schmidt?","In the movie Captain America First Avenger, Steve is the antagonist of Johann Schmidt."
Who is the antagonist of Johann Schmidt?,Steve is the antagonist of Johann Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Rogers?","In the movie Captain America First Avenger, Johann Schmidt is the antagonist of Rogers."
Who is the antagonist of Rogers?,Johann Schmidt is the antagonist of Rogers.
"In the movie Captain America First Avenger, who is the antagonist of Johann Schmidt?","In the movie Captain America First Avenger, Rogers is the antagonist of Johann Schmidt."
Who is the antagonist of Johann Schmidt?,Rogers is the antagonist of Johann Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Steve?","In the movie Captain America First Avenger, Johann Schmidt is the antagonist of Steve."
Who is the antagonist of Steve?,Johann Schmidt is the antagonist of Steve.
"In the movie Captain America First Avenger, who is the antagonist of Johann Schmidt?","In the movie Captain America First Avenger, Steve is the antagonist of Johann Schmidt."
Who is the antagonist of Johann Schmidt?,Steve is the antagonist of Johann Schmidt.
"In the movie Captain America First Avenger, who is the antagonist of Steven Rogers?","In the movie Captain America First Avenger, Johann Schmidt is the antagonist of Steven Rogers."
Who is the antagonist of Steven Rogers?,Johann Schmidt is the antagonist of Steven Rogers.
"In the movie Captain America First Avenger, who is the antagonist of Johann Schmidt?","In the movie Captain America First Avenger, Steven Rogers is the antagonist of Johann Schmidt."
Who is the antagonist of Johann Schmidt?,Steven Rogers is the antagonist of Johann Schmidt.
"In the movie Captain America First Avenger, who is the friend of Winter Soldier?","In the movie Captain America First Avenger, Captain America is the friend of Winter Soldier."
Who is the friend of Winter Soldier?,Captain America is the friend of Winter Soldier.
"In the movie Captain America First Avenger, who is the friend of Captain America?","In the movie Captain America First Avenger, Winter Soldier is the friend of Captain America."
Who is the friend of Captain America?,Winter Soldier is the friend of Captain America.
"In the movie Captain America First Avenger, who is the friend of White Wolf?","In the movie Captain America First Avenger, Captain America is the friend of White Wolf."
Who is the friend of White Wolf?,Captain America is the friend of White Wolf.
"In the movie Captain America First Avenger, who is the friend of Captain America?","In the movie Captain America First Avenger, White Wolf is the friend of Captain America."
Who is the friend of Captain America?,White Wolf is the friend of Captain America.
"In the movie Captain America First Avenger, who is the friend of Bucky?","In the movie Captain America First Avenger, Captain America is the friend of Bucky."
Who is the friend of Bucky?,Captain America is the friend of Bucky.
"In the movie Captain America First Avenger, who is the friend of Captain America?","In the movie Captain America First Avenger, Bucky is the friend of Captain America."
Who is the friend of Captain America?,Bucky is the friend of Captain America.
"In the movie Captain America First Avenger, who is the friend of James Buchannan Barnes?","In the movie Captain America First Avenger, Captain America is the friend of James Buchannan Barnes."
Who is the friend of James Buchannan Barnes?,Captain America is the friend of James Buchannan Barnes.
"In the movie Captain America First Avenger, who is the friend of Captain America?","In the movie Captain America First Avenger, James Buchannan Barnes is the friend of Captain America."
Who is the friend of Captain America?,James Buchannan Barnes is the friend of Captain America.
"In the movie Captain America First Avenger, who is the friend of Winter Soldier?","In the movie Captain America First Avenger, Steve is the friend of Winter Soldier."
Who is the friend of Winter Soldier?,Steve is the friend of Winter Soldier.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Winter Soldier is the friend of Steve."
Who is the friend of Steve?,Winter Soldier is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of White Wolf?","In the movie Captain America First Avenger, Steve is the friend of White Wolf."
Who is the friend of White Wolf?,Steve is the friend of White Wolf.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, White Wolf is the friend of Steve."
Who is the friend of Steve?,White Wolf is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Bucky?","In the movie Captain America First Avenger, Steve is the friend of Bucky."
Who is the friend of Bucky?,Steve is the friend of Bucky.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Bucky is the friend of Steve."
Who is the friend of Steve?,Bucky is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of James Buchannan Barnes?","In the movie Captain America First Avenger, Steve is the friend of James Buchannan Barnes."
Who is the friend of James Buchannan Barnes?,Steve is the friend of James Buchannan Barnes.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, James Buchannan Barnes is the friend of Steve."
Who is the friend of Steve?,James Buchannan Barnes is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Winter Soldier?","In the movie Captain America First Avenger, Rogers is the friend of Winter Soldier."
Who is the friend of Winter Soldier?,Rogers is the friend of Winter Soldier.
"In the movie Captain America First Avenger, who is the friend of Rogers?","In the movie Captain America First Avenger, Winter Soldier is the friend of Rogers."
Who is the friend of Rogers?,Winter Soldier is the friend of Rogers.
"In the movie Captain America First Avenger, who is the friend of White Wolf?","In the movie Captain America First Avenger, Rogers is the friend of White Wolf."
Who is the friend of White Wolf?,Rogers is the friend of White Wolf.
"In the movie Captain America First Avenger, who is the friend of Rogers?","In the movie Captain America First Avenger, White Wolf is the friend of Rogers."
Who is the friend of Rogers?,White Wolf is the friend of Rogers.
"In the movie Captain America First Avenger, who is the friend of Bucky?","In the movie Captain America First Avenger, Rogers is the friend of Bucky."
Who is the friend of Bucky?,Rogers is the friend of Bucky.
"In the movie Captain America First Avenger, who is the friend of Rogers?","In the movie Captain America First Avenger, Bucky is the friend of Rogers."
Who is the friend of Rogers?,Bucky is the friend of Rogers.
"In the movie Captain America First Avenger, who is the friend of James Buchannan Barnes?","In the movie Captain America First Avenger, Rogers is the friend of James Buchannan Barnes."
Who is the friend of James Buchannan Barnes?,Rogers is the friend of James Buchannan Barnes.
"In the movie Captain America First Avenger, who is the friend of Rogers?","In the movie Captain America First Avenger, James Buchannan Barnes is the friend of Rogers."
Who is the friend of Rogers?,James Buchannan Barnes is the friend of Rogers.
"In the movie Captain America First Avenger, who is the friend of Winter Soldier?","In the movie Captain America First Avenger, Steve is the friend of Winter Soldier."
Who is the friend of Winter Soldier?,Steve is the friend of Winter Soldier.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Winter Soldier is the friend of Steve."
Who is the friend of Steve?,Winter Soldier is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of White Wolf?","In the movie Captain America First Avenger, Steve is the friend of White Wolf."
Who is the friend of White Wolf?,Steve is the friend of White Wolf.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, White Wolf is the friend of Steve."
Who is the friend of Steve?,White Wolf is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Bucky?","In the movie Captain America First Avenger, Steve is the friend of Bucky."
Who is the friend of Bucky?,Steve is the friend of Bucky.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Bucky is the friend of Steve."
Who is the friend of Steve?,Bucky is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of James Buchannan Barnes?","In the movie Captain America First Avenger, Steve is the friend of James Buchannan Barnes."
Who is the friend of James Buchannan Barnes?,Steve is the friend of James Buchannan Barnes.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, James Buchannan Barnes is the friend of Steve."
Who is the friend of Steve?,James Buchannan Barnes is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Winter Soldier?","In the movie Captain America First Avenger, Steven Rogers is the friend of Winter Soldier."
Who is the friend of Winter Soldier?,Steven Rogers is the friend of Winter Soldier.
"In the movie Captain America First Avenger, who is the friend of Steven Rogers?","In the movie Captain America First Avenger, Winter Soldier is the friend of Steven Rogers."
Who is the friend of Steven Rogers?,Winter Soldier is the friend of Steven Rogers.
"In the movie Captain America First Avenger, who is the friend of White Wolf?","In the movie Captain America First Avenger, Steven Rogers is the friend of White Wolf."
Who is the friend of White Wolf?,Steven Rogers is the friend of White Wolf.
"In the movie Captain America First Avenger, who is the friend of Steven Rogers?","In the movie Captain America First Avenger, White Wolf is the friend of Steven Rogers."
Who is the friend of Steven Rogers?,White Wolf is the friend of Steven Rogers.
"In the movie Captain America First Avenger, who is the friend of Bucky?","In the movie Captain America First Avenger, Steven Rogers is the friend of Bucky."
Who is the friend of Bucky?,Steven Rogers is the friend of Bucky.
"In the movie Captain America First Avenger, who is the friend of Steven Rogers?","In the movie Captain America First Avenger, Bucky is the friend of Steven Rogers."
Who is the friend of Steven Rogers?,Bucky is the friend of Steven Rogers.
"In the movie Captain America First Avenger, who is the friend of James Buchannan Barnes?","In the movie Captain America First Avenger, Steven Rogers is the friend of James Buchannan Barnes."
Who is the friend of James Buchannan Barnes?,Steven Rogers is the friend of James Buchannan Barnes.
"In the movie Captain America First Avenger, who is the friend of Steven Rogers?","In the movie Captain America First Avenger, James Buchannan Barnes is the friend of Steven Rogers."
Who is the friend of Steven Rogers?,James Buchannan Barnes is the friend of Steven Rogers.
"In the movie Captain America First Avenger, who is the friend of Howard?","In the movie Captain America First Avenger, Captain America is the friend of Howard."
Who is the friend of Howard?,Captain America is the friend of Howard.
"In the movie Captain America First Avenger, who is the friend of Captain America?","In the movie Captain America First Avenger, Howard is the friend of Captain America."
Who is the friend of Captain America?,Howard is the friend of Captain America.
"In the movie Captain America First Avenger, who is the friend of Howard?","In the movie Captain America First Avenger, Steve is the friend of Howard."
Who is the friend of Howard?,Steve is the friend of Howard.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Howard is the friend of Steve."
Who is the friend of Steve?,Howard is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Howard?","In the movie Captain America First Avenger, Rogers is the friend of Howard."
Who is the friend of Howard?,Rogers is the friend of Howard.
"In the movie Captain America First Avenger, who is the friend of Rogers?","In the movie Captain America First Avenger, Howard is the friend of Rogers."
Who is the friend of Rogers?,Howard is the friend of Rogers.
"In the movie Captain America First Avenger, who is the friend of Howard?","In the movie Captain America First Avenger, Steve is the friend of Howard."
Who is the friend of Howard?,Steve is the friend of Howard.
"In the movie Captain America First Avenger, who is the friend of Steve?","In the movie Captain America First Avenger, Howard is the friend of Steve."
Who is the friend of Steve?,Howard is the friend of Steve.
"In the movie Captain America First Avenger, who is the friend of Howard?","In the movie Captain America First Avenger, Steven Rogers is the friend of Howard."
Who is the friend of Howard?,Steven Rogers is the friend of Howard.
"In the movie Captain America First Avenger, who is the friend of Steven Rogers?","In the movie Captain America First Avenger, Howard is the friend of Steven Rogers."
Who is the friend of Steven Rogers?,Howard is the friend of Steven Rogers.
"In the movie Captain America First Avenger, who is the employee of Strategic Scientific Reserve?","In the movie Captain America First Avenger, Erskine is the employee of Strategic Scientific Reserve."
Who is the employee of Strategic Scientific Reserve?,Erskine is the employee of Strategic Scientific Reserve.
"In the movie Captain America First Avenger, who is the employer of Erskine?","In the movie Captain America First Avenger, Strategic Scientific Reserve is the employer of Erskine."
Who is the employer of Erskine?,Strategic Scientific Reserve is the employer of Erskine.
"In the movie Captain America First Avenger, who is the employee of Strategic Scientific Reserve?","In the movie Captain America First Avenger, Abraham Erskine is the employee of Strategic Scientific Reserve."
Who is the employee of Strategic Scientific Reserve?,Abraham Erskine is the employee of Strategic Scientific Reserve.
"In the movie Captain America First Avenger, who is the employer of Abraham Erskine?","In the movie Captain America First Avenger, Strategic Scientific Reserve is the employer of Abraham Erskine."
Who is the employer of Abraham Erskine?,Strategic Scientific Reserve is the employer of Abraham Erskine.
"In the movie Captain America First Avenger, who is the boyfriend of Agent Carter?","In the movie Captain America First Avenger, Captain America is the boyfriend of Agent Carter."
Who is the boyfriend of Agent Carter?,Captain America is the boyfriend of Agent Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Captain America?","In the movie Captain America First Avenger, Agent Carter is the girlfriend of Captain America."
Who is the girlfriend of Captain America?,Agent Carter is the girlfriend of Captain America.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy Carter?","In the movie Captain America First Avenger, Captain America is the boyfriend of Peggy Carter."
Who is the boyfriend of Peggy Carter?,Captain America is the boyfriend of Peggy Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Captain America?","In the movie Captain America First Avenger, Peggy Carter is the girlfriend of Captain America."
Who is the girlfriend of Captain America?,Peggy Carter is the girlfriend of Captain America.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy?","In the movie Captain America First Avenger, Captain America is the boyfriend of Peggy."
Who is the boyfriend of Peggy?,Captain America is the boyfriend of Peggy.
"In the movie Captain America First Avenger, who is the girlfriend of Captain America?","In the movie Captain America First Avenger, Peggy is the girlfriend of Captain America."
Who is the girlfriend of Captain America?,Peggy is the girlfriend of Captain America.
"In the movie Captain America First Avenger, who is the boyfriend of Margaret Carter?","In the movie Captain America First Avenger, Captain America is the boyfriend of Margaret Carter."
Who is the boyfriend of Margaret Carter?,Captain America is the boyfriend of Margaret Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Captain America?","In the movie Captain America First Avenger, Margaret Carter is the girlfriend of Captain America."
Who is the girlfriend of Captain America?,Margaret Carter is the girlfriend of Captain America.
"In the movie Captain America First Avenger, who is the boyfriend of Agent Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Agent Carter."
Who is the boyfriend of Agent Carter?,Steve is the boyfriend of Agent Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Agent Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Agent Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Peggy Carter."
Who is the boyfriend of Peggy Carter?,Steve is the boyfriend of Peggy Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Peggy Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Peggy Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy?","In the movie Captain America First Avenger, Steve is the boyfriend of Peggy."
Who is the boyfriend of Peggy?,Steve is the boyfriend of Peggy.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Peggy is the girlfriend of Steve."
Who is the girlfriend of Steve?,Peggy is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Margaret Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Margaret Carter."
Who is the boyfriend of Margaret Carter?,Steve is the boyfriend of Margaret Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Margaret Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Margaret Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Agent Carter?","In the movie Captain America First Avenger, Rogers is the boyfriend of Agent Carter."
Who is the boyfriend of Agent Carter?,Rogers is the boyfriend of Agent Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Rogers?","In the movie Captain America First Avenger, Agent Carter is the girlfriend of Rogers."
Who is the girlfriend of Rogers?,Agent Carter is the girlfriend of Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy Carter?","In the movie Captain America First Avenger, Rogers is the boyfriend of Peggy Carter."
Who is the boyfriend of Peggy Carter?,Rogers is the boyfriend of Peggy Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Rogers?","In the movie Captain America First Avenger, Peggy Carter is the girlfriend of Rogers."
Who is the girlfriend of Rogers?,Peggy Carter is the girlfriend of Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy?","In the movie Captain America First Avenger, Rogers is the boyfriend of Peggy."
Who is the boyfriend of Peggy?,Rogers is the boyfriend of Peggy.
"In the movie Captain America First Avenger, who is the girlfriend of Rogers?","In the movie Captain America First Avenger, Peggy is the girlfriend of Rogers."
Who is the girlfriend of Rogers?,Peggy is the girlfriend of Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Margaret Carter?","In the movie Captain America First Avenger, Rogers is the boyfriend of Margaret Carter."
Who is the boyfriend of Margaret Carter?,Rogers is the boyfriend of Margaret Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Rogers?","In the movie Captain America First Avenger, Margaret Carter is the girlfriend of Rogers."
Who is the girlfriend of Rogers?,Margaret Carter is the girlfriend of Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Agent Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Agent Carter."
Who is the boyfriend of Agent Carter?,Steve is the boyfriend of Agent Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Agent Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Agent Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Peggy Carter."
Who is the boyfriend of Peggy Carter?,Steve is the boyfriend of Peggy Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Peggy Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Peggy Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy?","In the movie Captain America First Avenger, Steve is the boyfriend of Peggy."
Who is the boyfriend of Peggy?,Steve is the boyfriend of Peggy.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Peggy is the girlfriend of Steve."
Who is the girlfriend of Steve?,Peggy is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Margaret Carter?","In the movie Captain America First Avenger, Steve is the boyfriend of Margaret Carter."
Who is the boyfriend of Margaret Carter?,Steve is the boyfriend of Margaret Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steve?","In the movie Captain America First Avenger, Margaret Carter is the girlfriend of Steve."
Who is the girlfriend of Steve?,Margaret Carter is the girlfriend of Steve.
"In the movie Captain America First Avenger, who is the boyfriend of Agent Carter?","In the movie Captain America First Avenger, Steven Rogers is the boyfriend of Agent Carter."
Who is the boyfriend of Agent Carter?,Steven Rogers is the boyfriend of Agent Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steven Rogers?","In the movie Captain America First Avenger, Agent Carter is the girlfriend of Steven Rogers."
Who is the girlfriend of Steven Rogers?,Agent Carter is the girlfriend of Steven Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy Carter?","In the movie Captain America First Avenger, Steven Rogers is the boyfriend of Peggy Carter."
Who is the boyfriend of Peggy Carter?,Steven Rogers is the boyfriend of Peggy Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steven Rogers?","In the movie Captain America First Avenger, Peggy Carter is the girlfriend of Steven Rogers."
Who is the girlfriend of Steven Rogers?,Peggy Carter is the girlfriend of Steven Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Peggy?","In the movie Captain America First Avenger, Steven Rogers is the boyfriend of Peggy."
Who is the boyfriend of Peggy?,Steven Rogers is the boyfriend of Peggy.
"In the movie Captain America First Avenger, who is the girlfriend of Steven Rogers?","In the movie Captain America First Avenger, Peggy is the girlfriend of Steven Rogers."
Who is the girlfriend of Steven Rogers?,Peggy is the girlfriend of Steven Rogers.
"In the movie Captain America First Avenger, who is the boyfriend of Margaret Carter?","In the movie Captain America First Avenger, Steven Rogers is the boyfriend of Margaret Carter."
Who is the boyfriend of Margaret Carter?,Steven Rogers is the boyfriend of Margaret Carter.
"In the movie Captain America First Avenger, who is the girlfriend of Steven Rogers?","In the movie Captain America First Avenger, Margaret Carter is the girlfriend of Steven Rogers."
Who is the girlfriend of Steven Rogers?,Margaret Carter is the girlfriend of Steven Rogers.
"In the movie Captain America First Avenger, who is the associate of Red Skull?","In the movie Captain America First Avenger, Zola is the associate of Red Skull."
Who is the associate of Red Skull?,Zola is the associate of Red Skull.
"In the movie Captain America First Avenger, who is the associate of Zola?","In the movie Captain America First Avenger, Red Skull is the associate of Zola."
Who is the associate of Zola?,Red Skull is the associate of Zola.
"In the movie Captain America First Avenger, who is the associate of Schmidt?","In the movie Captain America First Avenger, Zola is the associate of Schmidt."
Who is the associate of Schmidt?,Zola is the associate of Schmidt.
"In the movie Captain America First Avenger, who is the associate of Zola?","In the movie Captain America First Avenger, Schmidt is the associate of Zola."
Who is the associate of Zola?,Schmidt is the associate of Zola.
"In the movie Captain America First Avenger, who is the associate of Johann Schmidt?","In the movie Captain America First Avenger, Zola is the associate of Johann Schmidt."
Who is the associate of Johann Schmidt?,Zola is the associate of Johann Schmidt.
"In the movie Captain America First Avenger, who is the associate of Zola?","In the movie Captain America First Avenger, Johann Schmidt is the associate of Zola."
Who is the associate of Zola?,Johann Schmidt is the associate of Zola.
"In the movie Captain America First Avenger, who is the associate of Red Skull?","In the movie Captain America First Avenger, Arnim Zola is the associate of Red Skull."
Who is the associate of Red Skull?,Arnim Zola is the associate of Red Skull.
"In the movie Captain America First Avenger, who is the associate of Arnim Zola?","In the movie Captain America First Avenger, Red Skull is the associate of Arnim Zola."
Who is the associate of Arnim Zola?,Red Skull is the associate of Arnim Zola.
"In the movie Captain America First Avenger, who is the associate of Schmidt?","In the movie Captain America First Avenger, Arnim Zola is the associate of Schmidt."
Who is the associate of Schmidt?,Arnim Zola is the associate of Schmidt.
"In the movie Captain America First Avenger, who is the associate of Arnim Zola?","In the movie Captain America First Avenger, Schmidt is the associate of Arnim Zola."
Who is the associate of Arnim Zola?,Schmidt is the associate of Arnim Zola.
"In the movie Captain America First Avenger, who is the associate of Johann Schmidt?","In the movie Captain America First Avenger, Arnim Zola is the associate of Johann Schmidt."
Who is the associate of Johann Schmidt?,Arnim Zola is the associate of Johann Schmidt.
"In the movie Captain America First Avenger, who is the associate of Arnim Zola?","In the movie Captain America First Avenger, Johann Schmidt is the associate of Arnim Zola."
Who is the associate of Arnim Zola?,Johann Schmidt is the associate of Arnim Zola.
"In the movie Captain America First Avenger, who is Captain America?","In the movie Captain America First Avenger, Captain America is a World War 2 veteran, super soldier."
Who is Captain America?,"Captain America is a World War 2 veteran, super soldier."
Who portrayed Captain America?,Chris Evans portrayed Captain America.
"In the movie Captain America First Avenger, who portrayed Captain America?","In the movie Captain America First Avenger, Chris Evans portrayed Captain America."
What is the formal name of Captain America?,Steven Rogers is the formal name of Captain America.
"In the movie Captain America First Avenger, what is the formal name of Captain America?","In the movie Captain America First Avenger, Steven Rogers is the formal name of Captain America."
"In the movie Captain America First Avenger, what are the nicknames of Captain America?","In the movie Captain America First Avenger, Capsicle, Cap are the nicknames of Captain America."
What are the nicknames of Captain America?,"Capsicle, Cap are the nicknames of Captain America."
"In the movie Captain America First Avenger, who gave the nickname to Captain America?","In the movie Captain America First Avenger, Tony gave the nickname to Captain America."
Who gave the nickname to Captain America?,Tony gave the nickname to Captain America.
"In the movie Captain America First Avenger, what are the aliases of Captain America?","In the movie Captain America First Avenger, Captain America, Steve, Rogers are the aliases of Captain America."
What are the aliases of Captain America?,"Captain America, Steve, Rogers are the aliases of Captain America."
"In the movie Captain America First Avenger, who is Steven Rogers?","In the movie Captain America First Avenger, Steven Rogers is a World War 2 veteran, super soldier."
Who is Steven Rogers?,"Steven Rogers is a World War 2 veteran, super soldier."
"In the movie Captain America First Avenger, who is Steve?","In the movie Captain America First Avenger, Steve is a World War 2 veteran, super soldier."
Who is Steve?,"Steve is a World War 2 veteran, super soldier."
Who portrayed Steve?,Chris Evans portrayed Steve.
"In the movie Captain America First Avenger, who portrayed Steve?","In the movie Captain America First Avenger, Chris Evans portrayed Steve."
